2.183	6.710000E-37
2.247	1.220000E-37
2.314	5.180000E-38
2.382	2.570000E-38
2.453	1.420000E-38
2.525	8.620000E-39
2.6	5.460000E-39
2.677	3.500000E-39
2.756	2.360000E-39
2.837	1.670000E-39
2.921	1.240000E-39
3.008	9.360000E-40
3.097	7.330000E-40
3.188	5.830000E-40
3.283	4.740000E-40
3.38	3.850000E-40
3.48	3.190000E-40
3.583	2.690000E-40
3.689	2.290000E-40
3.798	1.980000E-40
3.91	1.730000E-40
4.026	1.500000E-40
4.145	1.320000E-40
4.267	1.170000E-40
4.393	1.040000E-40
4.523	9.390000E-41
4.657	8.380000E-41
4.795	7.550000E-41
4.937	6.860000E-41
5.083	6.300000E-41
5.233	5.830000E-41
5.388	5.420000E-41
5.547	5.090000E-41
5.711	4.800000E-41
5.88	4.570000E-41
6.054	4.360000E-41
6.233	4.190000E-41
6.417	4.040000E-41
6.607	3.920000E-41
6.803	3.820000E-41
7.004	3.730000E-41
7.211	3.660000E-41
7.424	3.610000E-41
7.644	3.560000E-41
7.87	3.530000E-41
8.103	3.510000E-41
8.342	3.500000E-41
8.589	3.480000E-41
8.843	3.420000E-41
9.105	3.370000E-41
9.374	3.320000E-41
9.651	3.290000E-41
9.936	3.270000E-41
10.23	3.240000E-41
10.533	3.200000E-41
10.844	3.160000E-41
11.165	3.130000E-41
11.495	3.110000E-41
11.835	3.100000E-41
12.185	3.100000E-41
12.546	3.090000E-41
12.917	3.090000E-41
13.299	3.100000E-41
13.692	3.110000E-41
14.097	3.130000E-41
14.514	3.150000E-41
14.943	3.180000E-41
15.385	3.210000E-41
15.84	3.240000E-41
16.309	3.280000E-41
16.791	3.330000E-41
17.288	3.380000E-41
17.799	3.430000E-41
18.325	3.480000E-41
18.867	3.540000E-41
19.425	3.610000E-41
20	3.670000E-41
